track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
6TdOOA2PBxP8jKO0p9Elc9,16 Horsepower,american wheeze,188gwh9RnRT58ZQPwqwHE3,33.0,https://p.scdn.co/mp3-preview/a58993d86f104f207c722c7381b02b98321ff0b4?cid=72c9f2b9d3344c91af50a24f4144228f,0.127,0.468,0.625,0.18,0.796,-6.198,0.0368,121.585,0.297
4hFUodlSK6gjLoz1US6snk,16 Horsepower,i seen what i saw,188gwh9RnRT58ZQPwqwHE3,25.0,,0.0284,0.419,0.547,1.09e-05,0.0804,-11.635,0.0353,173.868,0.73
,16 Horsepower,hutterite mile,,,,,,,,,,,,
7My5DIityXisMnm7PRfrTt,16 Horsepower,haw,188gwh9RnRT58ZQPwqwHE3,22.0,,0.0185,0.4,0.869,0.000213,0.0407,-7.991,0.0338,138.086,0.52
7esMcjyZVhZfFyv7VYxVA6,16 Horsepower,scrawled in sap,188gwh9RnRT58ZQPwqwHE3,19.0,,0.213,0.436,0.767,2.48e-06,0.158,-7.99,0.0631,118.159,0.814
1nzQhAyJBeWmR75nGcrbKG,16 Horsepower,brimstone rock,188gwh9RnRT58ZQPwqwHE3,27.0,,0.0616,0.688,0.57,0.00185,0.269,-8.799,0.0493,104.419,0.314
6sqoptJC1QKPjqes9tu0R4,16 Horsepower,wayfaring stranger,188gwh9RnRT58ZQPwqwHE3,30.0,https://p.scdn.co/mp3-preview/0cfc759cea677e77773587a2efdaf2c888ba306c?cid=72c9f2b9d3344c91af50a24f4144228f,0.914,0.653,0.403,0.00195,0.089,-12.598,0.0336,114.895,0.42
,16 Horsepower,outlaw song,,,,,,,,,,,,
5nfiSyMCAPc92bOtuvMxgm,16 Horsepower,low estate,188gwh9RnRT58ZQPwqwHE3,12.0,,0.705,0.366,0.501,3.94e-05,0.36,-8.101,0.0299,98.723,0.366
6WggMrFlBurKs4sTGSV4RG,18 Carat Affair,love you like before,0va8U409dr4gA1zQ2gSnD5,33.0,https://p.scdn.co/mp3-preview/d7941561f022cf57c28059bcf46d954d488cf8f8?cid=72c9f2b9d3344c91af50a24f4144228f,0.353,0.719,0.495,0.905,0.122,-12.557,0.089,116.02,0.353
0OGa4HYtYRWYysrGjpGVyw,18 Carat Affair,desire,0va8U409dr4gA1zQ2gSnD5,42.0,https://p.scdn.co/mp3-preview/83a88e0ca7d204a419bb556a27ee51a9f1e41c7e?cid=72c9f2b9d3344c91af50a24f4144228f,0.0416,0.602,0.874,0.865,0.111,-7.709,0.0617,99.164,0.85
5qkWTBmDmZjogwIvbKtJQv,2 Chainz,birthday song,17lzZA2AlOHwCwFALHttmp,55.0,,0.0591,0.753,0.59,0.0,0.15,-2.623,0.0485,140.002,0.161
6j9iyrrmqWlQZ5SD1hSTaq,2 Chainz,no lie,17lzZA2AlOHwCwFALHttmp,60.0,,0.0172,0.634,0.665,0.0,0.365,-5.984,0.176,131.108,0.611
,2 Chainz,i m different,,,,,,,,,,,,
39pS70eeDvyCAF3t8NAlVV,2 Chainz,good drank,17lzZA2AlOHwCwFALHttmp,59.0,,0.274,0.836,0.776,0.0,0.113,-0.804,0.239,130.033,0.37
07RXBKfyCYIYRMLCvlGWXU,2 Chainz,feds watching,17lzZA2AlOHwCwFALHttmp,47.0,,0.0476,0.79,0.875,0.0,0.312,-6.55,0.091,139.985,0.759
1nX9KhK3Fff27SnrIor2Yb,2 Chainz,4 am,17lzZA2AlOHwCwFALHttmp,65.0,,0.118,0.796,0.5,0.0,0.155,-7.21,0.425,75.012,0.227
22DKsoYFV5npPXmnPpXL7i,2 Chainz,watch out,17lzZA2AlOHwCwFALHttmp,54.0,,0.826,0.899,0.504,0.0,0.052,-6.758,0.5,129.89,0.537
,2 Chainz,it s a vibe,,,,,,,,,,,,
