track_id,artists,tracks,artist_id,track_popularity,track_url
3YPNWuPO2lUx64DlzrjL4b,*shels,Atoll,0Ivm3PYwfVFeq2trxYqLi2,15.0,https://p.scdn.co/mp3-preview/4de7b2b96de58d37e3b820b244e179c32af36ba0?cid=72c9f2b9d3344c91af50a24f4144228f
48WbbabDVnaitQgj4f3039,1 Giant Leap,"My Culture - Live at Live 8, Murrayfield Stadium, Edinburgh, 6th July 2004",1FrtBRcnPjZjaE9wWMANck,16.0,https://p.scdn.co/mp3-preview/ae366df65c41a3e8523b588d6f381ad326ec8ec2?cid=72c9f2b9d3344c91af50a24f4144228f
,1 Giant Leap,Braided Hair,,,
,1 Giant Leap,Passion,,,
,1 Giant Leap,Daphne,,,
,1 Giant Leap,Arrival,,,
,1 Giant Leap,The Way You Dream,,,
,1 Giant Leap,All Alone (On Eilean Shona),,,
,1 Giant Leap,Racing Away,,,
,1 Giant Leap,Ma’ Africa,,,
0GHRVjxxKDpFBHKMfoTiQ2,1000mods,Vidage,7EgAHTw2PMP7a1tAEtue89,47.0,https://p.scdn.co/mp3-preview/37c1fbfd43c4053d16a183d49425334bbd864d01?cid=72c9f2b9d3344c91af50a24f4144228f
5WwuCMgmm2ADpubXo4qmUz,1000mods,She,7EgAHTw2PMP7a1tAEtue89,31.0,https://p.scdn.co/mp3-preview/de38bed8e426f31eeddf32dc7f5a26867ea88ce8?cid=72c9f2b9d3344c91af50a24f4144228f
0pojbrpMtuUWzojK1F7wOU,1000mods,Electric Carve,7EgAHTw2PMP7a1tAEtue89,37.0,https://p.scdn.co/mp3-preview/ef13f6b7b07171b65c4c222075f04d7e46c0b586?cid=72c9f2b9d3344c91af50a24f4144228f
2RNzwwqSro8Gcuu3svSrhM,1000mods,Low,7EgAHTw2PMP7a1tAEtue89,36.0,https://p.scdn.co/mp3-preview/b43089d233bbc501ba2bcc9a336771b758de6953?cid=72c9f2b9d3344c91af50a24f4144228f
4kyesMU5MvTLGKczuhKnVn,1000mods,Road to Burn,7EgAHTw2PMP7a1tAEtue89,40.0,https://p.scdn.co/mp3-preview/3e59afc6eef70f30721ece30ad82cdbeda0a76e5?cid=72c9f2b9d3344c91af50a24f4144228f
1gl4nHeddPsq9bCaxHFJiW,1000mods,Claws,7EgAHTw2PMP7a1tAEtue89,35.0,https://p.scdn.co/mp3-preview/fdc8ddef8622a35c874ca743a25328c595fea3b1?cid=72c9f2b9d3344c91af50a24f4144228f
2XUkUPWXa5RZP2hGQtXVcR,1000mods,Loose,7EgAHTw2PMP7a1tAEtue89,31.0,https://p.scdn.co/mp3-preview/6b5c40d7f213ee18a7577d540027c176b69663a0?cid=72c9f2b9d3344c91af50a24f4144228f
503S4OpOynqYxV2iaMjQVd,1000mods,Super Van Vacation,7EgAHTw2PMP7a1tAEtue89,27.0,https://p.scdn.co/mp3-preview/85f8021896e6aee973be59d032ae9a046e0c47cd?cid=72c9f2b9d3344c91af50a24f4144228f
0gJ5VXDncxLC3RntVAGHPt,1000mods,The Son,7EgAHTw2PMP7a1tAEtue89,26.0,https://p.scdn.co/mp3-preview/8e9ac3844d3cab441ab0355d42e192d974862dce?cid=72c9f2b9d3344c91af50a24f4144228f
15EQkPa8HPO9ZqNUxrsXwo,1000mods,On a Stone,7EgAHTw2PMP7a1tAEtue89,22.0,https://p.scdn.co/mp3-preview/5d970ae964c71cfa069adef904dbc3ea02505b48?cid=72c9f2b9d3344c91af50a24f4144228f
5HQEmiV2lKnSO6qa2fsR7x,10cc,I'm Not In Love,6i6WlGzQtXtz7GcC5H5st5,70.0,
1LOZMYF5s8qhW7Rv4w2gun,10cc,Dreadlock Holiday,6i6WlGzQtXtz7GcC5H5st5,67.0,
6KEWtSOGKpIXGw6l1uJgsR,10cc,The Things We Do For Love,6i6WlGzQtXtz7GcC5H5st5,66.0,
1QQgSUKCG8GakzMOwi4lFS,10cc,Rubber Bullets,6i6WlGzQtXtz7GcC5H5st5,49.0,https://p.scdn.co/mp3-preview/21232a27e6b08f53aaee945c99e997fd90f39c18?cid=72c9f2b9d3344c91af50a24f4144228f
,10Cc,"I’m Mandy, Fly Me",,,
7zOA2G5QfADpx83SfYGsKd,10cc,Life Is A Minestrone,6i6WlGzQtXtz7GcC5H5st5,39.0,
0U8SDgf7UiNG68oa7CkSrc,10cc,Une Nuit A Paris (Part 1) / The Same Night In Paris (Part 2) / Later The Same Night In Paris (Part 3),6i6WlGzQtXtz7GcC5H5st5,29.0,
3HyZGwZAq9oQJQBzSyjs7Q,10cc,The Wall Street Shuffle,6i6WlGzQtXtz7GcC5H5st5,25.0,
